District,Block,Population,Literacy_Rate,Rural_Percentage,No_of_Schools,Dropout_Rate,Lat,Long
Nilgiris,Block_1888,267414,79.9,1,80,14.4,12.7761,76.8484
Nagapattinam,Block_1889,274244,70.8,56,52,9.0,12.4036,79.3083
Virudhunagar,Block_1890,245840,74.9,44,96,4.4,9.1926,76.571
Tiruvarur,Block_1891,381218,83.8,70,63,11.4,8.7692,79.6982
Madurai,Block_1892,432105,82.2,46,101,12.2,10.3823,78.577
Tiruvarur,Block_1893,257792,73.9,51,156,11.4,8.0066,78.9399
Dindigul,Block_1894,86061,83.4,72,99,6.8,12.5414,76.6596
Chennai,Block_1895,131559,76.1,16,49,13.3,9.2297,79.7496
Tiruvarur,Block_1896,492017,91.9,39,192,10.4,13.0061,80.3866
Tiruvallur,Block_1897,270439,78.4,25,44,9.0,8.919,78.6979
Perambalur,Block_1898,240868,75.4,73,121,5.8,10.684,76.357
Cuddalore,Block_1899,173336,77.8,2,121,6.9,12.892,77.4714
Tirunelveli,Block_1900,66842,81.1,22,54,9.2,8.57,76.5473
Nilgiris,Block_1901,168961,68.5,42,110,10.8,9.6193,80.1816
Salem,Block_1902,172847,89.3,9,57,10.4,11.3775,76.7683
Ariyalur,Block_1903,110788,85.8,68,72,3.7,13.2043,77.2641
Thoothukudi,Block_1904,251069,70.4,23,65,6.4,12.207,80.2792
Vellore,Block_1905,231492,71.3,66,76,12.1,9.7741,79.9941
Karur,Block_1906,363297,65.3,3,118,9.5,8.4111,78.9096
Theni,Block_1907,94801,73.4,65,119,4.4,12.3326,77.2981
Ramanathapuram,Block_1908,419991,81.6,31,65,7.0,10.0614,76.9441
Ariyalur,Block_1909,78442,81.2,23,155,6.0,8.7428,78.1705
Nagapattinam,Block_1910,438301,72.6,58,121,4.7,11.1047,79.6948
Erode,Block_1911,374181,79.9,53,121,13.1,12.6815,78.2923
Virudhunagar,Block_1912,279407,82.9,17,190,13.8,8.0014,78.009
Kanchipuram,Block_1913,387335,80.9,57,48,4.9,10.6122,76.8715
Ariyalur,Block_1914,71039,67.5,69,72,5.7,8.7422,78.1302
Namakkal,Block_1915,388407,68.0,54,177,4.3,8.151,79.2265
Vellore,Block_1916,366251,76.1,55,104,12.1,9.8565,76.0259
Pudukkottai,Block_1917,350725,79.0,78,143,12.8,8.7069,77.8607
Namakkal,Block_1918,394105,69.8,64,100,14.2,9.2065,78.5337
Tirunelveli,Block_1919,496073,91.4,26,134,11.7,10.1193,78.4226
Tiruvallur,Block_1920,84338,79.6,24,43,6.4,8.1836,80.4054
Madurai,Block_1921,386878,72.4,13,174,4.3,13.4441,77.0804
Theni,Block_1922,176594,90.9,47,68,14.4,8.9982,79.7893
Thanjavur,Block_1923,220647,71.6,16,160,10.8,10.445,78.3675
Dindigul,Block_1924,328376,90.5,50,130,14.4,11.4441,76.7118
Sivagangai,Block_1925,256720,89.4,70,35,5.4,12.8241,80.1293
Nilgiris,Block_1926,311136,83.0,74,138,5.7,12.7261,79.0241
Tiruppur,Block_1927,125894,85.1,78,136,6.2,11.5222,78.8936
Viluppuram,Block_1928,365915,70.2,28,60,9.8,8.8942,76.8322
Cuddalore,Block_1929,414540,68.8,69,51,7.1,12.1271,78.3564
Nilgiris,Block_1930,395541,72.5,80,188,13.3,11.4444,79.8013
Tirunelveli,Block_1931,369434,72.6,4,160,11.1,8.5381,78.402
Chennai,Block_1932,484011,74.0,35,137,13.4,12.1758,78.4979
Thoothukudi,Block_1933,389534,84.2,17,25,5.6,8.5376,76.1002
Trichy,Block_1934,96008,89.1,51,24,6.3,12.954,79.4818
Namakkal,Block_1935,178357,76.0,27,103,8.7,12.5019,76.8393
Ariyalur,Block_1936,358573,90.8,72,151,13.4,8.0767,78.3478
Sivagangai,Block_1937,168541,84.3,35,142,7.2,11.555,78.0474
Namakkal,Block_1938,234186,77.3,2,163,11.5,12.906,76.3955
Ariyalur,Block_1939,88438,75.3,37,146,3.7,11.0446,79.8123
Erode,Block_1940,372879,77.0,15,92,8.5,12.212,79.7062
Thanjavur,Block_1941,354634,81.6,9,165,6.4,9.2376,77.5347
Thoothukudi,Block_1942,158959,78.1,74,158,10.5,10.6494,78.1541
Tiruvarur,Block_1943,404592,66.9,44,175,14.4,9.3587,79.6208
Ariyalur,Block_1944,87983,81.7,60,72,9.4,12.9297,80.0291
Tiruppur,Block_1945,242908,69.8,77,168,10.6,10.3305,76.0138
Krishnagiri,Block_1946,59142,74.7,8,197,13.6,10.1029,76.1937
Vellore,Block_1947,186201,78.8,42,32,14.1,11.9928,76.4708
Theni,Block_1948,109843,71.4,33,80,7.4,12.6057,78.8166
Trichy,Block_1949,427068,68.2,38,200,9.3,10.0011,77.2712
Viluppuram,Block_1950,155285,68.2,42,150,3.1,8.7315,77.6204
Ariyalur,Block_1951,241996,86.4,31,63,12.6,10.3875,78.0095
Karur,Block_1952,247321,81.3,21,157,7.1,8.7916,79.0841
Karur,Block_1953,354029,82.3,54,42,3.1,11.5428,78.5515
Perambalur,Block_1954,424288,81.5,53,100,12.4,13.4208,78.1934
Chennai,Block_1955,79414,81.9,61,123,13.5,9.816,78.216
Theni,Block_1956,234164,91.9,21,66,10.1,10.9716,76.8105
Perambalur,Block_1957,475428,84.7,65,52,8.6,8.8209,77.3168
Nilgiris,Block_1958,246592,86.0,42,197,7.2,12.6604,77.815
Salem,Block_1959,205035,86.9,36,112,13.5,10.3637,76.3573
Nilgiris,Block_1960,487584,79.3,66,169,5.5,10.0646,78.7701
Thanjavur,Block_1961,404437,82.6,66,160,5.4,8.5879,80.2623
Tirunelveli,Block_1962,401475,73.5,45,187,4.7,11.4392,80.2476
Namakkal,Block_1963,198795,78.7,68,35,11.1,9.2388,77.6825
Erode,Block_1964,298879,82.5,12,29,3.3,11.9491,76.5717
Perambalur,Block_1965,415725,75.2,24,104,11.1,8.5703,78.2336
Perambalur,Block_1966,354311,82.0,56,104,11.0,8.6545,77.2499
Sivagangai,Block_1967,290166,74.0,25,76,5.1,10.2666,79.6898
Sivagangai,Block_1968,375860,91.5,24,162,14.9,13.0189,80.1397
Salem,Block_1969,271430,68.4,51,163,7.2,9.7625,80.4415
Thanjavur,Block_1970,261916,82.1,2,169,8.4,11.8905,76.62
Perambalur,Block_1971,154795,77.0,39,118,13.6,9.4052,78.472
Tiruppur,Block_1972,299764,73.0,54,160,5.6,10.3867,78.0528
Ramanathapuram,Block_1973,478070,79.9,22,41,7.7,11.0572,79.1025
Thoothukudi,Block_1974,128963,66.0,33,159,8.2,8.3473,77.2522
Tirunelveli,Block_1975,290688,70.0,25,25,11.1,12.2372,78.6773
Viluppuram,Block_1976,121268,65.8,20,146,8.8,13.3176,80.2182
Ramanathapuram,Block_1977,247941,65.7,1,28,3.4,8.2372,79.3666
Tiruvallur,Block_1978,246076,74.4,27,141,7.5,10.8885,77.9939
Tiruvallur,Block_1979,311173,84.4,67,195,9.7,12.1325,79.5825
Nagapattinam,Block_1980,204052,77.9,77,79,6.8,10.1987,77.3177
Nilgiris,Block_1981,69350,69.3,52,110,7.2,10.3698,77.6803
Erode,Block_1982,126547,73.5,77,188,3.4,12.1019,76.307
Erode,Block_1983,89984,69.9,17,128,6.8,9.573,78.477
Coimbatore,Block_1984,305130,73.6,51,146,10.8,10.4324,79.9109
Karur,Block_1985,76126,65.7,24,26,5.9,9.9356,77.6761
Tirunelveli,Block_1986,311556,73.1,62,74,8.1,13.2582,79.5226
Trichy,Block_1987,102885,67.1,31,62,14.3,10.2031,79.9173
Salem,Block_1988,321138,72.8,63,168,3.5,8.904,80.4005
Madurai,Block_1989,402586,72.5,51,76,14.6,9.9846,76.9101
Viluppuram,Block_1990,144145,75.9,51,58,5.3,11.1981,77.6754
Tiruvarur,Block_1991,428129,69.2,5,81,11.1,9.6747,78.8335
Sivagangai,Block_1992,53835,84.6,48,57,8.6,9.774,78.7599
Cuddalore,Block_1993,142694,66.2,1,70,11.9,11.6101,77.4519
Trichy,Block_1994,275393,82.8,0,197,14.1,9.5704,77.125
Pudukkottai,Block_1995,358244,73.7,80,162,13.9,10.2246,79.9294
Pudukkottai,Block_1996,285770,83.3,21,153,11.5,9.1108,76.0489
Tiruvallur,Block_1997,141090,82.6,38,36,5.9,8.0771,76.4661
Ramanathapuram,Block_1998,110250,85.9,41,146,9.5,9.8064,78.1087
Virudhunagar,Block_1999,343922,77.3,73,145,9.4,12.592,79.54
Theni,Block_2000,342856,65.9,71,136,8.3,13.2178,78.2202
Madurai,Block_2001,108359,65.6,5,36,14.2,12.6237,79.4327
Pudukkottai,Block_2002,230300,89.3,29,44,3.3,10.0366,79.258
Thoothukudi,Block_2003,201455,65.7,3,168,13.7,8.0916,77.7001
Trichy,Block_2004,364400,79.2,58,72,3.7,12.4688,76.3298
Trichy,Block_2005,290679,85.3,36,126,9.5,10.5072,79.2543
Trichy,Block_2006,413449,89.6,68,129,5.0,11.0413,77.931
Krishnagiri,Block_2007,409062,78.9,9,127,11.1,8.5036,76.3572
Perambalur,Block_2008,337613,84.3,74,158,11.5,10.334,76.8325
Ramanathapuram,Block_2009,241913,81.8,38,58,11.0,9.5668,77.6332
Madurai,Block_2010,155229,73.3,41,134,5.8,11.4138,79.7831
Erode,Block_2011,434514,66.9,18,152,14.8,9.5048,78.4942
Tiruppur,Block_2012,195535,83.9,17,37,8.2,10.5958,77.9882
Tiruppur,Block_2013,309605,81.3,68,69,8.0,12.5431,79.3142
Theni,Block_2014,383186,81.4,69,115,14.4,11.2172,80.033
Coimbatore,Block_2015,228050,89.9,59,35,3.1,8.0009,76.5386
Viluppuram,Block_2016,481893,73.5,19,51,6.2,12.0128,76.9218
Tiruvallur,Block_2017,69278,73.2,49,37,5.1,8.1326,78.7795
Tiruppur,Block_2018,105475,72.8,43,72,14.2,11.1351,79.6996
Nagapattinam,Block_2019,275711,78.0,63,88,7.9,8.7912,77.0097
Ariyalur,Block_2020,164462,79.2,2,50,13.8,11.2014,77.3094
Krishnagiri,Block_2021,124752,72.4,66,65,9.5,9.8075,78.0918
Tirunelveli,Block_2022,130729,76.5,46,170,7.0,10.8248,76.1477
Krishnagiri,Block_2023,488704,79.3,52,51,12.3,9.4002,77.4831
Vellore,Block_2024,279596,66.4,73,69,6.6,8.2043,76.3207
Pudukkottai,Block_2025,409608,80.9,40,161,8.7,8.6662,80.2691
Theni,Block_2026,116257,85.7,46,90,8.4,8.4822,80.4469
Ariyalur,Block_2027,290074,66.3,79,26,14.1,8.7434,76.7931
Namakkal,Block_2028,240554,83.3,15,64,4.3,13.2559,78.2443
Vellore,Block_2029,269831,74.8,30,66,14.7,12.9908,78.8973
Nagapattinam,Block_2030,372103,80.9,51,121,10.5,8.8914,80.1856
Kanchipuram,Block_2031,363638,65.9,57,51,9.2,12.3439,77.1809
Dindigul,Block_2032,352078,78.1,2,28,4.9,9.4919,78.0253
Tirunelveli,Block_2033,249757,70.6,57,58,10.6,8.9063,78.0301
Sivagangai,Block_2034,348628,68.3,47,159,15.0,9.2738,80.01
Thoothukudi,Block_2035,160828,67.3,15,42,7.5,8.3631,80.2602
Vellore,Block_2036,234891,80.2,24,179,10.6,12.7753,76.7213
Nagapattinam,Block_2037,112636,77.8,75,183,5.4,9.0592,78.9879
Tiruvarur,Block_2038,200165,65.9,61,123,6.5,12.0873,76.1571
Thanjavur,Block_2039,54017,79.7,75,149,10.3,11.5913,80.2537
Vellore,Block_2040,482955,82.3,5,91,13.1,8.4815,77.8554
Viluppuram,Block_2041,206509,68.6,12,85,9.5,9.9845,79.9946
Thoothukudi,Block_2042,286881,80.3,35,52,10.2,12.98,80.3849
Thanjavur,Block_2043,226950,91.3,61,124,13.5,11.1922,78.4107
Coimbatore,Block_2044,300030,85.5,76,112,5.1,8.0842,79.6385
Pudukkottai,Block_2045,92833,72.3,51,52,10.2,9.748,78.4989
Pudukkottai,Block_2046,206912,85.0,62,55,9.7,11.1276,77.7868
Theni,Block_2047,131248,80.0,20,69,10.4,13.3532,76.8595
Theni,Block_2048,321474,71.6,55,104,6.9,9.9972,76.0247
Pudukkottai,Block_2049,382902,80.6,42,175,7.0,9.15,78.4126
Salem,Block_2050,83978,90.0,36,106,4.2,8.9842,79.7294
Thanjavur,Block_2051,496609,72.6,12,80,10.7,9.298,76.6495
Cuddalore,Block_2052,243544,76.7,56,125,4.5,9.0713,79.5041
Tiruvarur,Block_2053,419527,84.7,57,138,12.9,11.9634,76.2203
Karur,Block_2054,217484,86.6,61,112,13.6,11.1802,80.3898
Theni,Block_2055,395941,86.1,21,141,10.8,11.3944,76.8341
Viluppuram,Block_2056,448145,68.8,3,34,10.8,11.4566,78.0188
Tiruvarur,Block_2057,308243,80.6,9,175,14.7,12.7401,80.4255
Vellore,Block_2058,62932,69.1,8,176,12.7,8.2077,79.3808
Vellore,Block_2059,260234,85.1,34,55,8.2,8.701,79.3054
Perambalur,Block_2060,460185,82.6,75,56,8.8,8.1718,80.477
Viluppuram,Block_2061,417952,89.8,47,119,6.5,8.4705,78.053
Viluppuram,Block_2062,172483,74.4,24,113,8.3,8.0033,76.3094
Coimbatore,Block_2063,102371,79.2,62,38,11.9,11.2221,78.6231
Chennai,Block_2064,435634,66.7,66,151,14.2,11.8606,80.1653
Chennai,Block_2065,191460,72.3,9,54,14.2,10.0454,80.0486
Theni,Block_2066,470822,78.8,2,107,7.6,8.118,77.421
Perambalur,Block_2067,392596,87.1,67,32,12.2,13.2401,76.0552
Nagapattinam,Block_2068,114324,67.6,60,72,10.4,13.0277,77.9272
Tiruppur,Block_2069,293021,72.9,18,144,9.4,8.1754,79.0283
Karur,Block_2070,455024,65.3,28,138,12.9,12.6764,76.7922
Tiruvallur,Block_2071,371950,77.3,9,67,8.0,12.5754,80.2009
Kanchipuram,Block_2072,401691,73.4,12,124,7.9,12.1109,76.8588
Erode,Block_2073,497100,71.3,40,76,11.5,8.0963,80.4914
Theni,Block_2074,121208,77.9,1,85,5.9,9.8277,79.9406
Sivagangai,Block_2075,481950,65.9,69,166,5.2,8.1921,80.0921
Thanjavur,Block_2076,338064,67.9,71,97,9.5,11.3999,77.0352
Cuddalore,Block_2077,184160,67.9,28,167,3.7,8.7863,76.874
Kanchipuram,Block_2078,187766,72.7,18,147,8.6,13.2191,77.9427
Ramanathapuram,Block_2079,108194,79.2,65,22,6.8,9.1211,79.6552
Virudhunagar,Block_2080,66502,91.2,78,70,10.0,13.1976,78.924
Cuddalore,Block_2081,275572,81.4,73,28,6.5,10.4567,78.9041
Krishnagiri,Block_2082,208242,82.0,65,45,7.2,13.109,76.7358
Salem,Block_2083,242925,77.7,67,183,3.4,8.6936,79.0747
Erode,Block_2084,156773,90.6,24,121,13.7,11.1552,79.0033
Tiruppur,Block_2085,410959,76.8,72,196,4.9,10.3404,76.8246
Dindigul,Block_2086,257038,90.0,49,85,10.9,12.3488,79.6554
Thoothukudi,Block_2087,410083,71.3,67,40,9.5,12.9893,77.8254
Ramanathapuram,Block_2088,424380,89.4,4,114,12.3,13.226,78.8821
Coimbatore,Block_2089,216930,68.0,53,131,10.5,11.133,80.466
Chennai,Block_2090,164291,90.8,4,127,13.6,11.9972,78.243
Chennai,Block_2091,226366,73.5,2,20,8.1,9.0091,77.0554
Sivagangai,Block_2092,342547,75.2,41,177,13.7,8.1248,76.22
Krishnagiri,Block_2093,278368,78.8,19,141,12.3,12.326,78.993
Krishnagiri,Block_2094,239533,78.4,45,53,11.2,10.9841,78.0821
Madurai,Block_2095,250414,89.4,59,169,5.6,8.3661,80.2659
Vellore,Block_2096,98181,73.1,8,184,7.7,10.9408,79.3344
Vellore,Block_2097,425364,72.3,7,78,3.3,9.0744,77.2387
Perambalur,Block_2098,382089,84.6,76,124,13.0,13.407,80.0704
Coimbatore,Block_2099,123094,84.3,27,20,10.7,12.3475,78.53
